id,Related,Related-order,Updated,Status,Noteworthy,Type,Type-text,Category,Agency,Agency-info,Rule-header,Rule,Proposed-date,Proposed-link,Proposed-status,Proposed-admin,Proposed-progress,Final-date,Final-link,Final-status,Final-admin,Final-progress,Effective-date,Effective-link,Effective-status,Effective-admin,Effective-progress,Summary,Review
1,2,1,6/8/2018,Delayed,Y,,,Housing,HUD,Department of Housing and Urban Development,Affirmatively Furthering Fair Housing Rule,Affirmatively Furthering Fair Housing Rule,7/19/2013,https://www.federalregister.gov/documents/2013/07/19/2013-16751/affirmatively-furthering-fair-housing,,obama,progress,7/16/2015,https://www.federalregister.gov/documents/2015/07/16/2015-17032/affirmatively-furthering-fair-housing,,obama,progress,5/23/2018,https://www.federalregister.gov/documents/2018/05/23/2018-11146/affirmatively-furthering-fair-housing-withdrawal-of-the-assessment-tool-for-local-governments,Delayed*,trump,block,A rule requiring communities to analyze racial residential segregation and submit plans to reverse it as a condition of receiving federal housing aid.,"The <a href=""https://www.justice.gov/crt/fair-housing-act-2"">Fair Housing Act</a> of 1968 calls on federal agencies with activities related to housing and urban development to administer their programs ""in a manner affirmatively to further the purposes of"" the Fair Housing Act. The Obama administration's Department of Housing and Urban Development (HUD) issued the <a href=""https://www.federalregister.gov/documents/2015/07/16/2015-17032/affirmatively-furthering-fair-housing"">Affirmatively Furthering Fair Housing (AFFH) Rule</a> in July 2015, fulfilling the unmet mandate of the Fair Housing Act. The rule requires any community receiving block-grant funding from HUD to complete a comprehensive Assessment of Fair Housing (AFH) to analyze its housing stock and come up with a plan for addressing patterns of segregation and discrimination. 
<br><br>
On January 5, 2018, HUD Secretary Ben Carson issued a <a href=""https://www.federalregister.gov/documents/2018/01/05/2018-00106/affirmatively-furthering-fair-housing-extension-of-deadline-for-submission-of-assessment-of-fair"">notice</a> stating that HUD would immediately stop reviewing plans that had been submitted but not yet accepted, and that participating jurisdictions now had until October 31, 2020 to submit their assessments. (Previously, municipalities were implementing the rule in a rolling fashion, largely based on where they were in their local planning cycles.) On May 8, 2018, the National Fair Housing Alliance <a href=""http://nationalfairhousing.org/wp-content/uploads/2018/05/Filed-complaint-1.pdf"">sued</a> HUD for illegally suspending the AFFH Rule, which New York State <a href=""https://www.governor.ny.gov/news/governor-cuomo-announces-new-york-state-join-lawsuit-against-federal-government-failing-enforce"">joined</a> on May 14, 2018. 
<br><br>
On May 23, 2018, HUD issued a series of three <i>Federal Register</i> notices. <a href=""https://www.federalregister.gov/documents/2018/05/23/2018-11146/affirmatively-furthering-fair-housing-withdrawal-of-the-assessment-tool-for-local-governments"">First</a>, HUD <a href=""https://www.hud.gov/press/press_releases_media_advisories/HUD_No_18_044"">announced</a> it would be withdrawing the Local Government Assessment Tool, which was designed to help local governments to complete their AFHs. <a href=""https://www.federalregister.gov/documents/2018/05/23/2018-11145/affirmatively-furthering-fair-housing-affh-responsibility-to-conduct-analysis-of-impediments"">Second</a>, HUD reminded local governments of their obligations to conduct ""analyses of impediments"" to fair housing choice, which were required before the AFFH Rule went into effect, but which were generally not submitted or reviewed by HUD. <a href=""https://www.federalregister.gov/documents/2018/05/23/2018-11143/affirmatively-furthering-fair-housing-withdrawal-of-notice-extending-the-deadline-for-submission-of"">Third</a>, HUD withdrew the January 5, 2018 <a href=""https://www.federalregister.gov/documents/2018/01/05/2018-00106/affirmatively-furthering-fair-housing-extension-of-deadline-for-submission-of-assessment-of-fair"">notice</a>. <em class=""status"">Taken together, these notices effectively nullify the AFFH Rule: With no assessment tool, there can be no AFH, and by extension the rule cannot be implemented.</em> On June 5, 2018, several states and cities filed an <a href=""http://www.marylandattorneygeneral.gov/news%20documents/NFLA_Amicus_Brief.pdf"">amicus brief</a> opposing HUD's decision to withdraw the assessment tool, and New York State <a href=""https://ag.ny.gov/sites/default/files/fair_housing.pdf"">moved to intervene</a> in support of the National Fair Housing Alliance's lawsuit."
2,1,2,8/19/2018,,,,,Housing,HUD,Department of Housing and Urban Development,Affirmatively Furthering Fair Housing Rule,Streamlining and Enhancements,8/16/2018,https://www.federalregister.gov/documents/2018/08/16/2018-17671/affirmatively-furthering-fair-housing-streamlining-and-enhancements,,trump,progress,,,,,,,,,,,A proposal to streamline the Affirmatively Furthering Fair Housing rule.,"On August 16, 2018, HUD <a href=""https://www.federalregister.gov/documents/2018/08/16/2018-17671/affirmatively-furthering-fair-housing-streamlining-and-enhancements"">proposed a new rule</a> to ""streamline and enhance"" the AFFH rule. The proposal calls for comments on changes to minimize the regulatory burden, advance local control over the process, and to ""encourage actions that increase housing choice, including through greater housing supply."""
3,,,10/25/2017,Repealed,Y,CRA,Nullified by Congressional Review Act,Financial,CFPB,Consumer Financial Protection Bureau,,Arbitration Rule,5/24/2016,https://www.federalregister.gov/documents/2016/05/24/2016-10961/arbitration-agreements,,obama,,7/19/2017,https://www.federalregister.gov/documents/2017/07/19/2017-14225/arbitration-agreements,,obama,,9/18/2017,,Nullified,obama,,Nullification of a rule allowing class action lawsuits against banks and credit card companies to resolve financial disputes.,"On July 19, 2017, the Consumer Financial Protection Bureau (CFPB) issued a final rule banning certain financial companies from using mandatory arbitration clauses in consumer contracts, including checking account and credit card contracts. The rule was supposed to provide the opportunity for alternative legal recourse for harmed consumers against these financial companies, most importantly class action lawsuits. Financial companies and the Treasury Department <a href = ""http://www.latimes.com/business/la-fi-treasury-arbitration-20171023-story.html"">claimed</a> that the CFPB's own analysis demonstrated the rule's ineffectiveness and that the rule primarily benefitted trial lawyers. Consumer advocates and congressional Democrats supported the rule. 
<br><br>
The day after the final rule was published, <a href=""https://www.congress.gov/member/keith-rothfus/R000598"">Rep. Keith Rothfus (R-PA)</a> introduced a joint resolution of disapproval to nullify the rule under the <a href=""https://www.brookings.edu/research/how-powerful-is-the-congressional-review-act/"">Congressional Review Act</a>. Five days later, the resolution <a href = ""http://clerk.house.gov/evs/2017/roll412.xml"">passed the House</a>, with votes along party lines. Senate Democrats staged a series of <a href = ""https://www.bloomberg.com/news/articles/2017-09-27/democrats-use-equifax-wells-fargo-to-defend-rule-on-bank-suits"">high-visibility press conferences</a> in support of the rule, focusing on recent high-profile problems at Wells Fargo and Equifax. On October 24, 2017, the resolution narrowly <a href = ""https://www.senate.gov/legislative/LIS/roll_call_lists/roll_call_vote_cfm.cfm?congress=115&session=1&vote=00249"">passed the Senate</a>, 51-50, with the vice president <a href =""http://www.politico.com/story/2017/10/24/consumer-protection-arbitration-senate-pence-244140"">breaking the tie</a> after two Republicans voted against it. On November 1, 2017, the resolution was signed by President Trump and <a href=""https://www.congress.gov/115/bills/hjres111/BILLS-115hjres111enr.pdf"">became law</a>, nullifying the rule."
4,"5,6",1,10/18/2018,In Effect,Y,,,Education,DoEd,Department of Education,Borrower Defense Rule,Borrower Defense Rule,6/6/2016,https://www.federalregister.gov/documents/2016/06/16/2016-14052/student-assistance-general-provisions-federal-perkins-loan-program-federal-family-education-loan,,obama,progress,11/1/2016,https://www.federalregister.gov/documents/2016/11/01/2016-25448/student-assistance-general-provisions-federal-perkins-loan-program-federal-family-education-loan,,obama,progress,10/16/2018,https://www.federalregister.gov/documents/2018/02/14/2018-03090/student-assistance-general-provisions-federal-perkins-loan-program-federal-family-education-loan,Delayed,trump,progress,A rule expanding the rights of defrauded students seeking federal student loan debt relief.,"On November 1, 2016, the Department of Education (DoEd) published its final Borrower Defense Rule. The DoEd undertook ""borrower defense"" rulemaking following a series of high-profile closures of several for-profit college groups, notably <a href = ""https://www.nbcnews.com/news/education/corinthian-colleges-shuts-down-ending-classes-16-000-overnight-n348741"">Corinthian Colleges</a>, which had left the DoEd in charge of thousands of borrower defense claims. The DoEd cited this backlog in a <a href = ""https://www.ed.gov/news/press-releases/fact-sheet-protecting-students-abusive-career-colleges""> June 2015 press release</a> announcing it would develop new regulations to facilitate borrower defense claims processing. The DoEd's final rule streamlined the claims process, and greatly expanded the rights of students seeking debt relief under claims of fraud. 
<br><br>
On May 24, 2017, just over one month before the Borrower Defense Rule was set to come into effect, a California-based trade association representing mostly for-profit schools <a href = ""https://www.insidehighered.com/sites/default/server_files/files/california_for-profits_borrowerdefense.pdf"">filed suit</a> alleging the new rules unfairly expanded borrower defense rights, and the Trump administration responded by delaying the rules pending resolution of the litigation. Eighteen state attorneys general have <a href=""https://assets.documentcloud.org/documents/3889617/Filed-Complaint-Massachusetts-Et-Al-v-DeVos.pdf"">filed a suit</a> challenging the delay. <em class=""status"">On October 24, 2017, the DoEd <a href = ""https://www.federalregister.gov/documents/2017/10/24/2017-22850/student-assistance-general-provisions-federal-perkins-loan-program-federal-family-education-loan"">proposed</a> to extend the effective date until July 1, 2019, while it works on a new version of the rule.</em> The delay was <a href=""https://www.federalregister.gov/documents/2018/02/14/2018-03090/student-assistance-general-provisions-federal-perkins-loan-program-federal-family-education-loan"">finalized</a> on February 14, 2018. On December 14, 2017, <a href=""https://oag.ca.gov/system/files/attachments/press_releases/People%20v.%20US%20Dept.%20of%20Educ.%20FILED.pdf"">two additional</a> <a href=""https://www.mass.gov/files/documents/2017/12/14/DeVos%20Multistate%20Complaint%2012.14.2017.pdf"">lawsuits</a> were filed by four state attorneys general, and a <a href=""https://predatorystudentlending.org/wp-content/uploads/2018/02/Calvillo-Manriquez-v.-DeVos-Complaint.pdf"">class action lawsuit</a> was filed on December 20, challenging the delay. On September 12, U.S. District Judge Randolph Moss ruled in favor of the state attorneys generals, writing in an <a href=""https://ecf.dcd.uscourts.gov/cgi-bin/show_public_doc?2017cv1330-87"">opinion</a> that the delays were ""arbitrary and capricious"" and ""procedurally invalid."" <span class=""new"">On October 16, 2018, the rule finally went into effect, as Judge Moss <a href=""https://www.insidehighered.com/sites/default/server_files/media/CAPPS%20order.pdf"">ruled</a> for its immediate implementation. However, the legal fights regarding this rule are likely to continue. In his ruling, Judge Moss <a href=""https://www.insidehighered.com/sites/default/server_files/media/CAPPS%20order.pdf"">wrote</a> that his decision ""is not the first (and presumable not the last) chapter."" </span>"
5,"6,4",3,8/19/2018,,,,,Education,DoEd,Department of Education,Borrower Defense Rule,Recission and Alteration (of Borrower Defense Rule),7/31/2018,https://www.federalregister.gov/documents/2018/07/31/2018-15823/student-assistance-general-provisions-federal-perkins-loan-program-federal-family-education-loan,,trump,progress,,,,,,,,,,,Another rule making it more difficult for defrauded sudents to seek federal student loan debt relief.,"On July 31, 2018, Secretary of Education Betsy DeVos <a href=""https://www.federalregister.gov/documents/2018/07/31/2018-15823/student-assistance-general-provisions-federal-perkins-loan-program-federal-family-education-loan"">proposed</a> to rescind and alter certain portions of the Borrower Defense Rule. Specifically, the newly proposed Borrower Defense Rule would require borrowers alleging they were defrauded or misled to demonstrate that their institution knowingly made false statements about program outcomes. It would also eliminate group discharge, requiring all claims to be addressed individually."
6,"4,5",2,6/28/2018,,,,,Education,DoEd,Department of Education,Borrower Defense Rule,Average Earnings Rule,12/20/2017,https://www.ed.gov/news/press-releases/improved-borrower-defense-discharge-process-will-aid-defrauded-borrowers-protect-taxpayers,,trump,progress,,,,,,5/25/2018,https://predatorystudentlending.org/wp-content/uploads/2018/05/PI-Order.pdf,Invalidated,court,block,A notice changing the discharge process for defrauded students.,"The Borrower Defense Rule has been delayed since May 2017, and several <a href=""https://assets.documentcloud.org/documents/3889617/Filed-Complaint-Massachusetts-Et-Al-v-DeVos.pdf"">lawsuits</a> have been filed challenging the delay. On December 8, 2017, the DoEd's Inspector General <a href=""https://www2.ed.gov/about/offices/list/oig/auditreports/fy2018/i04r0003.pdf"">reported</a> that the DoEd under President Trump had received 25,991 claims for loan discharges, of which 2 had been denied and 0 had been approved. On December 20, 2017, it was <a href=""https://www.washingtonpost.com/news/grade-point/wp/2017/12/20/betsy-devos-takes-action-on-backlog-of-student-debt-relief-claims/?utm_term=.e01a6d30aee4"">revealed</a> that the DoEd had approved 12,900 claims and denied 8,600 for former students of Corinthian Colleges, while about 37,000 claims remain unresolved. 
<br><br>
On December 20, 2017, Secretary of Education Betsy DeVos <a href=""https://www.ed.gov/news/press-releases/improved-borrower-defense-discharge-process-will-aid-defrauded-borrowers-protect-taxpayers"">announced</a> a new proposed Borrower Defense Rule, also known as the Average Earnings Rule. The new proposed rule provides debt relief based on income, with those earning less than 50 percent of their peers receiving full loan forgiveness. On March 17, 2018, four students defrauded by Corinthian Colleges <a href=""https://predatorystudentlending.org/wp-content/uploads/2018/03/Calvillo-Manriquez-First-Amended-Compl-w-Exhibits.pdf"">amended</a> their <a href=""https://predatorystudentlending.org/wp-content/uploads/2018/02/Calvillo-Manriquez-v.-DeVos-Complaint.pdf"">class action lawsuit</a>, and filed a <a href=""https://predatorystudentlending.org/wp-content/uploads/2018/05/PI-redacted_Redacted.pdf"">motion for preliminary injunction</a> against Secretary DeVos, claiming that the Average Earnings Rule violated the <a href=""https://www.gpo.gov/fdsys/granule/USCODE-2010-title5/USCODE-2010-title5-partI-chap5-subchapII-sec552a"">Privacy Act</a> by collecting income data from the Social Security Administration without authorization. On May 25, 2018, Magistrate Judge Sallie Kim <a href=""https://predatorystudentlending.org/wp-content/uploads/2018/05/PI-Order.pdf"">partially granted</a> the motion for preliminary injunction, <em class=""status"">barring the DoEd from using the Average Earnings Rule</em>, and ordering the DoEd to cease all debt collection efforts against the plaintiffs. On June 19, 2018, Judge Kim issued an <a href=""https://predatorystudentlending.org/wp-content/uploads/2018/06/show_temp-4.pdf"">amended order</a>, clarifying that the May 25 ruling applied to all defrauded Corinthian students, not just to the four plaintiffs who had filed the lawsuit, as the DoEd had originally interpreted the order. 
"
7,"8,9",1,6/20/2019,Repealed,Y,,,Environmental,EPA,Environmental Protection Agency,"While President Trump's EPA works to repeal the Clean Power Plan (CPP), it has been considering possible replacements, which they must eventually promulgate in light of the <a href=""https://www.epa.gov/ghgemissions/endangerment-and-cause-or-contribute-findings-greenhouse-gases-under-section-202a-clean"">endangerment finding</a>. On December 28, 2017, the EPA published an <a href = ""https://www.federalregister.gov/documents/2017/12/28/2017-27793/state-guidelines-for-greenhouse-gas-emissions-from-existing-electric-utility-generating-units"">advanced notice of proposed rulemaking</a>, seeking public comment on some open-ended questions regarding eventual replacement plans. On August 21, 2018, the EPA <a href=""https://www.epa.gov/newsreleases/epa-proposes-affordable-clean-energy-ace-rule"">proposed</a> the Affordable Clean Energy (ACE) rule to replace the CPP. The ACE rule would establish emission guidelines to address greenhouse gas (GHG) emissions from existing coal-fired power plants. Rather than setting targets for states as CPP did, ACE allows states to determine how to regulate emissions based on ACE guidelines. It defines the ""best system of emission reduction"" (BSER) for existing power plants as on-site, heat-rate efficiency improvements (HRI). CPP, on the other hand, represented BSERs through carbon dioxide emission performance rates. ACE would use these BSERs to provide states with a list of ""candidate technologies"" that can be used to establish standards of performance by the states. The EPA's <a href=""https://www.epa.gov/sites/production/files/2018-08/documents/utilities_ria_proposed_ace_2018-08.pdf"">Regulatory Impact Analysis</a> predicts that ACE would increase carbon dioxide emissions by over 60 million short tons by 2030 in the minimum case scenario, relative to CPP predictions. On August 31, a <a href=""https://www.federalregister.gov/documents/2018/08/31/2018-18755/emission-guidelines-for-greenhouse-gas-emissions-from-existing-electric-utility-generating-units"">formal proposed rule</a> regarding emission guidelines and implementation included ACE in one of its provisions. The rule underwent a comment period that ended October 30.<br><br><span class=""new"">On July 8, 2019, EPA <a href=""https://www.federalregister.gov/documents/2019/07/08/2019-13507/repeal-of-the-clean-power-plan-emission-guidelines-for-greenhouse-gas-emissions-from-existing"">finalized</a> three separate and distinct rulemakings, including the emission guidelines set by ACE and the implementation of ACE. The final rules will be effective 60 days after publication in the Federal Register. Several states intend to <a href=""https://www.gov.ca.gov/2019/06/19/governor-newsom-responds-to-trump-affordable-clean-energy-rule/"">initiate legal challenges</a> to block the measure.</span> 
",Clean Power Plan,6/18/2014,https://www.federalregister.gov/documents/2014/06/18/2014-13726/carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility-generating,,obama,progress,10/23/2015,https://www.federalregister.gov/documents/2015/10/23/2015-22842/carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility-generating,,obama,progress,2/9/2016,https://www.supremecourt.gov/orders/courtorders/020916zr3_hf5m.pdf,,trump,block,A rule requiring coal-burning power plants to reduce carbon emissions.,"The highly controversial <a href=""https://www.federalregister.gov/documents/2015/10/23/2015-22842/carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility-generating"">Clean Power Plan</a> (CPP) was finalized on October 23, 2015. The goal of the CPP was to reduce greenhouse gas emissions from the electricity sector, which is responsible for approximately 30 percent of America's overall greenhouse gas emissions. In January 2016, the D.C. Circuit Court of Appeals <a href = ""http://cdn.powermag.com/wp-content/uploads/2016/01/PN-DCCPP-Jan.212016.pdf?_ga=2.103146688.1726477647.1508358903-1896656418.1508358901"">denied</a> a motion for stay of the CPP that was brought by a coalition of states and power industry representatives. <em class=""status"">On February 9, 2016 (less than a week before the death of Justice Antonin Scalia), the Supreme Court <a href = ""https://www.supremecourt.gov/orders/courtorders/020916zr3_hf5m.pdf"">ruled 5-4</a> to take the unprecedented step of staying the rule, pending the exhaustion of the full appeals process for either side</em> (in other words, until the Supreme Court signed off on the rule's permissibility). On September 27, 2016, the D.C. Circuit Court of Appeals held an <a href =""https://www.brookings.edu/blog/fixgov/2016/09/27/the-d-c-circuit-considers-the-clean-power-plan-and-our-constitutional-future/""><i>en banc</i> hearing</a> of the case. The court's decision was expected in 2017, but on March 28, 2017,  President Trump issued an <a href=""https://www.whitehouse.gov/the-press-office/2017/03/28/presidential-executive-order-promoting-energy-independence-and-economi-1"">executive order</a> directing the Environmental Protection Agency (EPA) to review the CPP. The Trump administration subsequently requested that the court postpone consideration on the CPP pending the administration's internal review. On October 16, 2017, the EPA proposed to rescind the CPP."
8,"9,7",3,6/20/2019,Repealed,Y,,,Environmental,EPA,Environmental Protection Agency,Clean Power Plan,Affordable Clean Energy (ACE) Rule,8/21/2018,https://www.epa.gov/newsreleases/epa-proposes-affordable-clean-energy-ace-rule,,trump,progress,7/8/2019,https://www.federalregister.gov/documents/2019/07/08/2019-13507/repeal-of-the-clean-power-plan-emission-guidelines-for-greenhouse-gas-emissions-from-existing,,trump,progress,9/6/2019,https://www.federalregister.gov/documents/2019/07/08/2019-13507/repeal-of-the-clean-power-plan-emission-guidelines-for-greenhouse-gas-emissions-from-existing,,trump,progress,A rule that would replace the Clean Power Plan to address greenhouse gas emissions from coal-burning power plants ,"While President Trump's EPA works to repeal the Clean Power Plan (CPP), it has been considering possible replacements, which they must eventually promulgate in light of the <a href=""https://www.epa.gov/ghgemissions/endangerment-and-cause-or-contribute-findings-greenhouse-gases-under-section-202a-clean"">endangerment finding</a>. On December 28, 2017, the EPA published an <a href = ""https://www.federalregister.gov/documents/2017/12/28/2017-27793/state-guidelines-for-greenhouse-gas-emissions-from-existing-electric-utility-generating-units"">advanced notice of proposed rulemaking</a>, seeking public comment on some open-ended questions regarding eventual replacement plans. On August 21, 2018, the EPA <a href=""https://www.epa.gov/newsreleases/epa-proposes-affordable-clean-energy-ace-rule"">proposed</a> the Affordable Clean Energy (ACE) rule to replace the CPP. The ACE rule would establish emission guidelines to address greenhouse gas (GHG) emissions from existing coal-fired power plants. Rather than setting targets for states as CPP did, ACE allows states to determine how to regulate emissions based on ACE guidelines. It defines the ""best system of emission reduction"" (BSER) for existing power plants as on-site, heat-rate efficiency improvements (HRI). CPP, on the other hand, represented BSERs through carbon dioxide emission performance rates. ACE would use these BSERs to provide states with a list of ""candidate technologies"" that can be used to establish standards of performance by the states. The EPA's <a href=""https://www.epa.gov/sites/production/files/2018-08/documents/utilities_ria_proposed_ace_2018-08.pdf"">Regulatory Impact Analysis</a> predicts that ACE would increase carbon dioxide emissions by over 60 million short tons by 2030 in the minimum case scenario, relative to CPP predictions. On August 31, a <a href=""https://www.federalregister.gov/documents/2018/08/31/2018-18755/emission-guidelines-for-greenhouse-gas-emissions-from-existing-electric-utility-generating-units"">formal proposed rule</a> regarding emission guidelines and implementation included ACE in one of its provisions. The rule underwent a comment period that ended October 30.<br><br><span class=""new"">On June 19, 2019, EPA <a href=""https://www.epa.gov/sites/production/files/2019-06/documents/frn_ace_2060-at67_final_rule_20190618disc.pdf"">finalized</a> three separate and distinct rulemakings, including the emission guidelines set by ACE and the implementation of ACE. The final rules will be effective 60 days after publication in the Federal Register. Several states intend to <a href=""https://www.gov.ca.gov/2019/06/19/governor-newsom-responds-to-trump-affordable-clean-energy-rule/"">initiate legal challenges</a> to block the measure.</span> 
"
9,"7,8",2,6/20/2019,Repealed,Y,,,Environmental,EPA,Environmental Protection Agency,Clean Power Plan,Rescission,10/16/2017,https://www.federalregister.gov/documents/2017/10/16/2017-22349/repeal-of-carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility,,trump,progress,7/8/2019,https://www.federalregister.gov/documents/2019/07/08/2019-13507/repeal-of-the-clean-power-plan-emission-guidelines-for-greenhouse-gas-emissions-from-existing,,trump,progress,9/6/2019,https://www.federalregister.gov/documents/2019/07/08/2019-13507/repeal-of-the-clean-power-plan-emission-guidelines-for-greenhouse-gas-emissions-from-existing,,trump,progress,Rescission of the Clean Power Plan,"In an October 9, 2017, <a href = ""https://www.washingtonpost.com/news/energy-environment/wp/2017/10/09/pruitt-tells-coal-miners-he-will-repeal-power-plan-rule-tuesday-the-war-on-coal-is-over/?utm_term=.a6c184451f1c"">speech</a> to coal miners in Kentucky, EPA administrator Scott Pruitt declared ""the war against coal over,"" announcing that the EPA would soon begin the process of repealing the Clean Power Plan (CPP). A formal <a href=""https://www.federalregister.gov/documents/2017/10/16/2017-22349/repeal-of-carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility"">proposed rule</a> was published in the <i>Federal Register</i> on October 16, 2017. On November 8, 2017, the EPA <a href = ""https://www.federalregister.gov/documents/2017/11/08/2017-24216/repeal-of-carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility"">extended the public comment period</a> of the proposal to rescind until January 16, 2018. On December 28, 2017, the EPA published an <a href = ""https://www.federalregister.gov/documents/2017/12/28/2017-27793/state-guidelines-for-greenhouse-gas-emissions-from-existing-electric-utility-generating-units"">advanced notice of proposed rulemaking</a> seeking public comments on replacements. On February 1, 2018, the EPA <a href=""https://www.federalregister.gov/documents/2018/02/01/2018-01321/repeal-of-carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility"">announced</a> that it would be holding three new public hearings on its proposal to repeal the CPP, and extended the public comment period to April 26, 2018. <span class=""new"">On July 8, 2019, EPA <a href=""https://www.federalregister.gov/documents/2019/07/08/2019-13507/repeal-of-the-clean-power-plan-emission-guidelines-for-greenhouse-gas-emissions-from-existing"">finalized</a> three separate and distinct rulemakings, including the repeal of CPP.</span> "
10,"11,12",1,2/22/2019,In Rulemaking,Y,,,Environmental,"EPA, DoD","Environmental Protection Agency, Department of Defense",Clean Water / Waters of the United States Rule,Waters of the U.S. Rule (WOTUS),4/21/2014,https://www.federalregister.gov/documents/2014/04/21/2014-07142/definition-of-waters-of-the-united-states-under-the-clean-water-act,,obama,progress,6/29/2015,https://www.federalregister.gov/documents/2015/06/29/2015-13435/clean-water-rule-definition-of-waters-of-the-united-states,,obama,progress,2/6/2018,https://www.federalregister.gov/documents/2018/02/06/2018-02429/definition-of-waters-of-the-united-states-addition-of-an-applicability-date-to-2015-clean-water-rule,Delayed,court,progress,"A rule expanding which bodies of water fall under federal jurisdiction, which are protected under the Clean Water Act.","One of the Obama administration's most controversial environmental rules, the ""waters of the United States"" (WOTUS) rule sought to clarify what ""navigable waters"" would mean under the Clean Water Act. The term was interpreted to include tributaries and bodies of water adjacent to federal waters, including wetlands, ponds, and lakes, which critics argued was jurisdictional overreach. 
<br><br>
Thirteen states sued to block the rule, and a judge in the U.S. District Court for North Dakota issued a <a href=""https://www.agri-pulse.com/ext/resources/pdfs/w/o/t/t/a/WOTUSNorthDakota.pdf"">preliminary injunction</a> in August 2015, hours before the rule was to take effect. On October 9, 2015, the Sixth Circuit Court of Appeals issued a <a href=""http://www.opn.ca6.uscourts.gov/opinions.pdf/15a0246p-06.pdf"">nationwide stay</a>, which blocked implementation of the rule. On February 22, 2016, a three-judge panel of the Sixth Circuit Court <a href=""http://www.opn.ca6.uscourts.gov/opinions.pdf/16a0045p-06.pdf"">stated</a> that it had jurisdiction to review challenges to the WOTUS rule, citing courts' historically expansive interpretation of <a href=""https://www.law.cornell.edu/uscode/text/33/1369"">section 1369</a> of the Clean Water Act, which describes the law's judicial review provisions. In response, the National Association of Manufacturers appealed to Supreme Court, arguing that the Sixth Circuit Court lacked jurisdiction. 
<br><br>
On January 22, 2018, the Supreme Court issued a <a href=""https://www.supremecourt.gov/opinions/17pdf/16-299_8nk0.pdf"">unanimous ruling</a> that lawsuits to challenge the WOTUS rule must be filed in federal district courts rather than federal courts of appeals, voiding the Sixth Circuit's claim of jurisdiction, and throwing into doubt the future of its nationwide stay. The choice of which court has jurisdiction is significant because it affects the resources needed to litigate the merits of challenges, sets the statute of limitations for filing lawsuits, and helps determine whether actions can be challenged in subsequent civil or criminal proceedings. <em class=""status"">Following the Supreme Court's decision, the Army Corps of Engineers and the Environmental Protection Agency issued a <a href=""https://www.federalregister.gov/documents/2018/02/06/2018-02429/definition-of-waters-of-the-united-states-addition-of-an-applicability-date-to-2015-clean-water-rule"">final rule</a> on February 6, 2018, extending the applicability date of the WOTUS rule to February 6, 2020.</em>"
