docket_id,docket_url,document_id,posted_date,comment_url,comment_text,organization,comment_title,attachment_count,number_of_comments_received,org_name,position,position_certainty,comment_type,coalition_comment,coalition_type,org_name_short,org_type,ask,ask1,ask2,ask3,success,success_certainty,sucess1,success2,success3,response,pressure_phrases,accept_phrases,compromise_phrases,reject_phrases,notes,agency_acronym,attachment_txt,proposed_url,final_url,agree_phrases,disagree_phrases,proposed_rule_url,final_rule_url,comment_txt1,comment_txt,...35,...36,submitter_name,file_1,transparent,source,agency_acronym2,date,president,n_obs,coalitions,coalition_unopposed,comments,congress,business,coalition_congress,coalition_size,coalition_position,coalition_business,coalition_success,org_lead,coalition_leader_success,coalition_comments,coalition_campaign_,coalition_,coalition_business_,coalition_id,Coalition_size,Coalition_comments,Position,Coalition_Position,coalition,agency,campaign_,ngo,gov,Coalition_campaign,Coalition_business
Cfpb-2019-0022,Https://Www.regulations.gov/Docket/Cfpb-2019-0022,Cfpb-2019-0022-0053,2019-06-11,Https://Www.regulations.gov/Comment/Cfpb-2019-0022-0053,See Attached,United States Senate,"Comment Submitted By Various, United States Senate",1,1,"Robert Menendez; Sherrod Brown; Catherine Cortez Masto; Cory A. Booker; Kirsten Gillibrand; Chris Van Hollen; Richard Blumenthal; Tammy Duckworth; Jack Reed; Tammy Baldwin; Elizabeth Warren; Benjamin L. Cardin; Kamala D. Harris; Edward J. Markey; Doug Jones; Angus S. King, Jr.; Dianne Feinstein;Richard J. Durbin; Bernard Sanders; Tina Smith; Sheldon Whitehouse; Amy Klobuchar; Brian Schatz; Mazie K. Hirono; Ron Wyden; Jeffrey A. Merkley",1,NA,Elected,Naacp,Public,NA,Senate-Nj,"Yet, The Cfpb’s Proposed Rule-Contains No Requirement That.a Debt Collector Have Original Documentation Or Other Information To Substantiate That The Debt They Are Attempting To Collect Is Legitimately Owed By The: Onsumer They Are Contacting.","S Itis Cutrently Written, The Proposed Debt Collection Rule Will Only Exacerbate And Increase Troubling Harassment Tactics..By Allowing Debt Collectors To Send Consumers Unlimited Text Messages And Emails Without First Receiving Affirmative.consent.for Such A Method Of Communication, The Proposed Rule Permits Collectors. To Overwhelm Consumers With Intrusive Communications.","The Proposed Rule Allows A Debt Collector To Call.a Consumer Seven Times A Week Per Debt. For A.consumer With Six-Medical Debts, The Proposed Rulemeans-That The-Consumer Eould Receive Up To 42 Calls Per Week. Furthermore, Creating An Exemption For “Limited Content” Messages That Could Be Overheard On A Voicemail Or Delivered To Third Parties Like An Employer Is An Invasion Of Basic Privacy That Should Not Be-Endorsed By. The: Bureau.","The Rule Also Weakeits-Protections. For Consumers Whose Debts Are No Longer Enforceable Under ‘State Or Federal Law. Rather Than Simply Bannitig Collection Of Time-Barred Debt By Third Party Collectors, The Gfpb’s Rulé Provides Collectors With A.loophole To:mislead Borrowérs Inte Unknowingly Accepting Liability For Those Debts,",-2,NA,2,-2,-2,"The Bureau Also Declines To Expand The Prohibition In § 1006.30(B)(1) To Encompass Other Types Of Debt Beyond Debt That Has Been Paid Or Settled Or Discharged In Bankruptcy. The Bureau Concludes That The Transfer Of Time-Barred Debt, Disputed Debt, Debt Lacking Ownership Documentation, Debt Subject To Litigation, Debt In Which The Consumer Has An Uncompleted Settlement Agreement, Or Other Types Of Debt Suggested By Commenters Do Not Present The Same Unfairness And Unconscionability Concerns Of The Same Prevalence And Magnitude As The Debt Types To Which The Prohibition In § 1006.30(B)(1) Applies.",NA,NA,NA,NA,NA,Cfpb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cfpb,2019-06-11,Trump,1,6,FALSE,1,TRUE,FALSE,3,111,1.0843373493975903,NA,-0.7407407407407409,TRUE,-0.7407407407407409,55,TRUE,TRUE,NA,261,More Than 100,1-99,Opposes Rule,Opposes Rule,Naacp,Cfpb,TRUE,FALSE,FALSE,Mass-Comment Campaign,NA
Cfpb-2019-0022,Https://Www.regulations.gov/Docket/Cfpb-2019-0022,Cfpb-2019-0022-12107,2019-10-02,Https://Www.regulations.gov/Comment/Cfpb-2019-0022-12107,See Attached,Congress Of The United States,Various On Behalf Of Congress Of The United States,1,1,"Katie Porter; Ayanna P Leu; Maxine Waters; Bill Foster; Jim Mcgovern; Ilhan Omar; Alexandria Ocasio-Cortez; Jesus G. “Chuy” Garcia; Carolyn B. Maloney; Emmanuel Cleaver, Ii; Wm. Lacy Clay; Rashida Tlaib; Juan Vargas; Gregory W. Meeks; Jerrold Nadler; Al Lawson; Joyce Beatty; Cheri Bustos; Debbie Dingell; Bonnie Watson Coleman; Nydia M. Velazquez; Mark Takano; Rosa Delauro; Tim Ryan;Betty Mccollum;Don Beyer; Jan Schakowsky; Ro Khanna; Raul M. Grijalva; Jamie Raskin; Eleanor Holmes Norton;Lucille Roybal-Allard;Bill Pascrell;Anna G. Eshoo;Barbara Lee; Steve Cohen;Mary Gay Scanlon; Stephen Lynch; Mike Levin;Julia Brownley;Danny K. Davis; Tony Cardenas; Bobby L. Rush;Veronica Escobar; Marcia L. Fudge;Mark Pocan;Jennifer Wexton;Chellie Pingree;Deb Haaland;Joe Courtney;Sheila Jackson Lee; Elijah E. Cummings;Karen Bass;Sylvia Garcia;Peter Welch;Michael San Nicolas; Nanette Diaz Barragan;Katie Hill;Adriano Espaillat;Tulsi Gabbard; Pramila Jayapal Congressman Mike Quigley; Robin Kelly; Madeleine Dean; Suzanne Bonamici;Peter Defazio",1,NA,Elected,Naacp,Public,NA,Senate,"Call Consumers Seven Times Per Week, Per Debt, Potentially Leading To Scores Of Calls To Consumers With Multiple Debts In Collection,","Text And Email Without Clear Limits And Without Consumers’ Consent, And Send Legally Required Notices Through Hyperlinks Consumers Might Be Afraid To Click On,","Decline To Translate Important Notices Into The Language Used For The Original Transaction,","Violate Consumer Privacy With “Limited-Content” Messages,",-2,NA,-2,-1,-2,NA,NA,NA,NA,NA,NA,Cfpb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cfpb,2019-10-02,Trump,1,6,FALSE,1,TRUE,FALSE,3,111,1.0843373493975903,NA,-0.7407407407407409,TRUE,-0.7407407407407409,55,TRUE,TRUE,NA,261,More Than 100,1-99,Opposes Rule,Opposes Rule,Naacp,Cfpb,TRUE,FALSE,FALSE,Mass-Comment Campaign,NA
Cfpb-2019-0022,Https://Www.regulations.gov/Docket/Cfpb-2019-0022,Cfpb-2019-0022-9573,2019-09-19,Https://Www.regulations.gov/Comment/Cfpb-2019-0022-9573,"Re: Docket No. Cfpb-2019-0022 Debt Collection Practices (Regulation F) Dear Director Kraninger: On Behalf Of Colorado Attorney General Philip J. Weiser, I Submit The Enclosed Comment Letter Regarding The Cfpb's Proposed Rule Entitled ""Debt Collection Practices (Regulation F),"" Set Forth At 84 Fed. Reg. 23274. Sincerely, Philip Sparr, Esq. Consumer Protection Section Consumer Credit Enforcement Unit Colorado Department Of Law 1300 Broadway, 6th Floor Denver, Co 80203",State Of Colorado Department Of Law,"Comment Submitted By Philip Weiser, State Of Colorado Department Of Law",1,1,State Of Colorado Department Of Law,1,NA,Elected,Naacp,Public,Colorado Attorney General,State Attorney General,"We Believe That Limited Content Messages Are Generally Not Necessary And Could Be Eliminated From The Proposal, But That If The Bureau Decides To Permit Limited Content Messages, The Only Suitable Media For Such Messages Is Via Email Or Text Message And, As Discussed Below, Only After A Consumer Affirmatively Opts-In To Electronic Communications (And Subject To Our Proposed Frequency Limits).",The Cfpb Should Not Impose A Rule Where Consumers Are Automatically Opted-In To Electronic Communications From Debt Collectors And Are Required To Take Affirmative Steps To Opt-Out.,No More Than Three Attempted Calls Per Debt Per Week,"A Bright-Line Rule, Providing That The Collection Of Time-Barred Debts Is Forbidden, Would: Serve The Fdcpa’s Purpose Of Eliminating Abusive Collection Practices, Avoid Consumer Confusion, Obviate The Need For The Cfpb’s Troublesome “Knows Or Should Know” Standard Under § 1006.26(B), And Dispense With The Necessity Of The Cfpb’s Plan To Test Consumer Disclosures Related To Time-Barred Debt.",-2,NA,-2,-2,-1,NA,NA,NA,NA,NA,NA,Cfpb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cfpb,2019-09-19,Trump,1,6,FALSE,1,FALSE,FALSE,3,111,1.0843373493975903,NA,-0.7407407407407409,TRUE,-0.7407407407407409,55,TRUE,TRUE,NA,261,More Than 100,1-99,Opposes Rule,Opposes Rule,Naacp,Cfpb,TRUE,FALSE,FALSE,Mass-Comment Campaign,NA
Cfpb-2019-0022,Https://Www.regulations.gov/Docket/Cfpb-2019-0022,Cfpb-2019-0022-14364,2020-03-12,Https://Www.regulations.gov/Comment/Cfpb-2019-0022-14364,See Attached,Congress Of The United States House Of Representative,Katie Porter On Be Half Of Congress Of The United States House Of Representative,1,1,Katie Porter,1,NA,Elected,Naacp,Public,NA,House,"I Request That The Cfpb Collaborate With The Department Of Health And Human Services (Hhs) To Conduct—And Make Public—A Formal Review Of The Privacy, Health, And Financial Implications Of This Proposed Regulation And Incorporate The Results Into Any Rulemaking.",The Proposed Rule Fails To Protect Patients And Their Private Health Information From A Pernicious New Trend In Medical Debt Collection: The Use Of Social Media Platforms And Texting To Contact Consumers.,"For Such Entities, The Use Of Social Media Platforms Without A Patient’s Prior Consent Appears Likely To Constitute An Unauthorized Breach Of Protected Health Information.",NA,-2,NA,-2,-2,NA,NA,NA,NA,NA,NA,NA,Cfpb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cfpb,2020-03-12,Trump,1,6,FALSE,1,TRUE,FALSE,3,111,1.0843373493975903,NA,-0.7407407407407409,TRUE,-0.7407407407407409,55,TRUE,TRUE,NA,261,More Than 100,1-99,Opposes Rule,Opposes Rule,Naacp,Cfpb,TRUE,FALSE,FALSE,Mass-Comment Campaign,NA
Cfpb-2019-0022,Https://Www.regulations.gov/Docket/Cfpb-2019-0022,Cfpb-2019-0022-14366,2020-09-22,Https://Www.regulations.gov/Comment/Cfpb-2019-0022-14366,See Attached,Congress,Alex X. Mooney On Behalf Of Congress,1,1,Rep. Alex X. Mooney,3,NA,Elected,American Bar Association,Public,NA,House-Wv,I Respectfully Urge You To Remove The Safe Harbor Provision For Meaningful Attorney Involvement From The Final Version Of The Debt Collection Rule.,NA,NA,NA,2,NA,NA,NA,"The Bureau Received A Large Number Of Comments On The Proposed Meaningful Attorney Involvement Safe Harbor From A Variety Of Commenters, Almost All Of Whom Opposed The Proposal. As Discussed Below, The Bureau Has Decided After Considering The Comments Not To Finalize The Proposed Provision Regarding Meaningful Attorney Involvement.",NA,NA,NA,NA,NA,NA,Cfpb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cfpb,2020-09-22,Trump,1,6,FALSE,1,TRUE,FALSE,1,26,2.5357142857142856,7,1.1666666666666665,TRUE,1.1666666666666665,2,FALSE,TRUE,FALSE,254,11-100,1-99,Supports Rule,Opposes Rule,American Bar Association,Cfpb,FALSE,FALSE,FALSE,No Campaign,Non-Business
Bsee-2018-0002,Https://Www.regulations.gov/Docket/Bsee-2018-0002,Bsee-2018-0002-0032,NA,Https://Www.regulations.gov/Comment/Bsee-2018-0002-0032,See Attached,Congress Of The United States,Incoming Buchanan + 20 Fl House Members Letter To Sec Zinke On Proposed Revisions To Well Control Rule 6-28-18,1,1,Charlie Crist;Vern Buchanan;Darren Soto;Francis Rooney;Debbie Wasserman Schultz;Val Butler Demings;Alcee L. Hastings;Ileana Ros-Lehtinen;Bill Posey;Carlos Curbelo;Mario Diaz-Balart;Kathy Castor;Dennis Ross;Frederica S. Wilson;Stephanie Murphy;Gus M. Bilirakis;Al Lawson;Ted Deutch;John Rutherford;Lois Frankel;Brian J. Mast,1,NA,Elected,Earthjustice,Public,NA,House-Fl,Leave All Portions Of Well Control Rule In Place,Concerned About Elimiation Of Third-Party Verification,Oppose Removing Real-Time Monitoring Requirements,NA,-2,NA,-2,-2,NA,NA,NA,NA,NA,NA,NA,Bsee,Https://Ssc.wisc.edu/~Judgelord/Comment_text/Bsee/Bsee-2018-0002-0032/Bsee-2018-0002-0032-1.Txt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bsee,2018-06-28,Trump,1,4,FALSE,1,FALSE,FALSE,0,23,1.0666666666666667,NA,-1.8888888888888888,TRUE,-1.8888888888888888,71607,TRUE,TRUE,NA,204,11-100,More Than 99,Opposes Rule,Opposes Rule,Earthjustice,Bsee,TRUE,FALSE,FALSE,Mass-Comment Campaign,NA
Bsee-2018-0002,Https://Www.regulations.gov/Docket/Bsee-2018-0002,Bsee-2018-0002-19026,NA,Https://Www.regulations.gov/Comment/Bsee-2018-0002-19026,See Attached,United States Senate,Incoming Cantwell +22 Democrat Senators To Zinke Re Proposed Revisions To Wcr (7-18-2018),1,1,Maria Cantwell;Bill Nelson;Kamala Harris;Jeffrey Merkley;Chris Van Hollen;Edward Markey;Mazie K. Hirono;Kirsten Gillibrand;Sheldon Whitehouse;Ron Wyden,1,NA,Elected,Earthjustice,Public,NA,Senate-Wa;Senate-Fl;Senate-Ca;Senate-Or;Senate-Md;Senate-Ma;Senate-Hi;Senate;Ny;Senate-Ri;Senate-Or,We Urge You To Abandon This Proposal To Weaken The Blowout Preventer Systems And Well Control Rule And Instead Focus On Prioritizing The Health And Safety Of Our Economy And Our Environment,NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bsee,Https://Ssc.wisc.edu/~Judgelord/Comment_text/Bsee/Bsee-2018-0002-19026/Bsee-2018-0002-19026-1.Txt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bsee,2018-07-19,Trump,1,4,FALSE,1,FALSE,FALSE,0,23,1.0666666666666667,NA,-1.8888888888888888,TRUE,-1.8888888888888888,71607,TRUE,TRUE,NA,204,11-100,More Than 99,Opposes Rule,Opposes Rule,Earthjustice,Bsee,TRUE,FALSE,FALSE,Mass-Comment Campaign,NA
Bsee-2018-0002,Https://Www.regulations.gov/Docket/Bsee-2018-0002,Bsee-2018-0002-20464,NA,Https://Www.regulations.gov/Comment/Bsee-2018-0002-20464,See Attached,Congress Of The United States,Incoming Diaz Barragan + 44 Members Of The Hr To Zinke Re Proposed Revisions To Wcr (7-10-2018),1,1,Nanette Diaz Barragan;Alan Lowenthal;David Price;Charlie Crist;Salud Carbajal;Frank Pallone;Suzanne Bonamici;Ro Khanna;Jamie Raskin;Markdesaulnier;Jimmy Panetta;Mike Thompson;Anna Eshoo;A. Donald Mceachin;Frederica Wilson;Kathy Castor;Betty Mccollum;Mike Quigley;Alcee Hastings;Darren Soto;Nydia Velazquez;John Garamendi;Jose Serrano;Gerald Connolly;Jerry Mcnerney;Earl Blumenauer;Daniel Lipinski;Niki Tsongas;Ted Deutch;Raul Grijalva;Diana Degette;Debbie Wasserman;Al Lawson;Jared Huffman;Mark Takano;Zoe Lofgren;Donald Norcross;Lucille Roybal-Allard;Bobby Rush;Jared Polis;Peter Welch;Seth Moulton;Donald Beyer;Bonnie Watson Coleman;Brendan Boyle,1,NA,Elected,Earthjustice,Public,NA,House-Ca,"As Your Agency Moves Forward With Consideration Of These Proposed Roll-Backs For Offshore Drilling Safety, We Urge You To Prioritize The Economic Vitality Of Our Clean Coastlines And Wildlife Resources By Keeping The 2016 Well Control Rule In Place.",NA,NA,NA,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bsee,Https://Ssc.wisc.edu/~Judgelord/Comment_text/Bsee/Bsee-2018-0002-20464/Bsee-2018-0002-20464-1.Txt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bsee,2018-07-26,Trump,1,4,FALSE,1,FALSE,FALSE,0,23,1.0666666666666667,NA,-1.8888888888888888,TRUE,-1.8888888888888888,71607,TRUE,TRUE,NA,204,11-100,More Than 99,Opposes Rule,Opposes Rule,Earthjustice,Bsee,TRUE,FALSE,FALSE,Mass-Comment Campaign,NA
Ed-2016-Oese-0032,Https://Www.regulations.gov/Docket/Ed-2016-Oese-0032,Ed-2016-Oese-0032-13773,NA,Https://Www.regulations.gov/Comment/Ed-2016-Oese-0032-13773,See Attached File(S),Nys Senate,Comment On Fr Doc # 2016-12451,1,NA,Nys Senate,1,1,Elected,NA,NA,NA,Elected;State Senator,"In Light Of The Foregoing Reasons, I Urge You To Reconsider The Department's Decision To Discipline School Districts For Low Test Participation Rates.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ed,Https://Ssc.wisc.edu/~Judgelord/Comment_text/Ed/Ed-2016-Oese-0032/Ed-2016-Oese-0032-13773.Txt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ed,2016-07-27,Obama,1,20,FALSE,1,FALSE,FALSE,0,19,3.588235294117647,NA,2,TRUE,2,0,FALSE,TRUE,NA,97,11-100,0,Opposes Rule,Supports Rule,NA,Ed,FALSE,FALSE,FALSE,No Campaign,NA
Ed-2016-Oese-0032,Https://Www.regulations.gov/Docket/Ed-2016-Oese-0032,Ed-2016-Oese-0032-14585,NA,Https://Www.regulations.gov/Comment/Ed-2016-Oese-0032-14585,See Attached File(S),U.s. House Of Representatives,Comment On Fr Doc # 2016-12451,1,NA,U.s. House Of Representatives,3,1,Elected,NA,NA,Gov;Federal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ed,Https://Ssc.wisc.edu/~Judgelord/Comment_text/Ed/Ed-2016-Oese-0032/Ed-2016-Oese-0032-14585.Txt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ed,2016-07-29,Obama,1,20,FALSE,1,FALSE,NA,0,19,3.588235294117647,NA,2,TRUE,2,0,FALSE,TRUE,NA,97,11-100,0,Supports Rule,Supports Rule,NA,Ed,FALSE,NA,NA,No Campaign,NA
