surname,RANK,FREQUENCY (COUNT),"PROPORTION PER 100,000 POPULATION",CUMULATIVE PROPORTION,White,Black,Asian,Native,PERCENT NON-HISPANIC OR LATINO TWO OR MORE RACES,Latino
SMITH,1,"2,442,977",828.2,828.2,70.9,23.1,0.5,0.9,2.2,2.4
JOHNSON,2,"1,932,812",655.2,"1,483.40",59,34.6,0.5,0.9,2.6,2.4
WILLIAMS,3,"1,625,252",551,"2,034.40",45.8,47.7,0.5,0.8,2.8,2.5
BROWN,4,"1,437,026",487.2,"2,521.60",58,35.6,0.5,0.9,2.6,2.5
JONES,5,"1,425,470",483.2,"3,004.80",55.2,38.5,0.4,1,2.6,2.3
GARCIA,6,"1,166,120",395.3,"3,400.10",5.4,0.5,1.4,0.5,0.3,92
MILLER,7,"1,161,437",393.7,"3,793.90",84.1,10.8,0.5,0.7,1.8,2.2
DAVIS,8,"1,116,357",378.5,"4,172.30",62.2,31.6,0.5,0.8,2.5,2.4
RODRIGUEZ,9,"1,094,924",371.2,"4,543.50",4.8,0.5,0.6,0.2,0.2,93.8
MARTINEZ,10,"1,060,159",359.4,"4,902.90",5.3,0.5,0.6,0.5,0.2,92.9
HERNANDEZ,11,"1,043,281",353.7,"5,256.60",3.8,0.4,0.6,0.2,0.2,94.9
LOPEZ,12,"874,523",296.5,"5,553.10",4.9,0.6,1,0.4,0.3,92.9
GONZALEZ,13,"841,025",285.1,"5,838.20",4,0.4,0.4,0.1,0.1,95
WILSON,14,"801,882",271.8,"6,110.00",67.4,26,0.6,1.1,2.4,2.6
ANDERSON,15,"784,404",265.9,"6,375.90",75.2,18.9,0.6,0.7,2.1,2.4
THOMAS,16,"756,142",256.3,"6,632.30",52.6,38.8,2.4,1.1,2.6,2.5
TAYLOR,17,"751,209",254.7,"6,886.90",65.4,28.4,0.6,0.8,2.4,2.5
MOORE,18,"724,374",245.6,"7,132.50",66.4,27.7,0.5,0.7,2.3,2.3
JACKSON,19,"708,099",240.1,"7,372.50",39.9,53,0.4,1.1,3.1,2.5
MARTIN,20,"702,625",238.2,"7,610.70",74.8,15.8,0.9,1,2,5.6
LEE,21,"693,023",234.9,"7,845.70",36,16.3,42.2,1,2.6,1.9
PEREZ,22,"681,645",231.1,"8,076.80",5,0.5,1.2,0.2,0.3,93
THOMPSON,23,"664,644",225.3,"8,302.10",69.8,23.6,0.6,1.2,2.4,2.5
WHITE,24,"660,491",223.9,"8,526.00",65.5,28.2,0.5,1.1,2.4,2.4
HARRIS,25,"624,252",211.6,"8,737.60",51.4,42.4,0.5,0.7,2.8,2.3
SANCHEZ,26,"612,752",207.7,"8,945.30",5,0.5,1,0.4,0.2,93
CLARK,27,"562,679",190.8,"9,136.10",74.7,19,0.5,1,2.2,2.6
RAMIREZ,28,"557,423",189,"9,325.10",3.9,0.3,0.9,0.2,0.2,94.5
LEWIS,29,"531,781",180.3,"9,505.30",58.2,34.8,0.6,1.2,2.6,2.6
ROBINSON,30,"529,821",179.6,"9,685.00",48.7,44.9,0.5,0.5,2.8,2.6
WALKER,31,"523,129",177.3,"9,862.30",58.7,35.1,0.5,0.9,2.6,2.4
YOUNG,32,"484,447",164.2,"10,026.50",66.3,24.7,3,0.8,2.7,2.6
ALLEN,33,"482,607",163.6,"10,190.10",67.6,26.2,0.5,0.9,2.4,2.5
KING,34,"465,422",157.8,"10,347.90",70.2,22.8,1.2,1,2.3,2.6
WRIGHT,35,"458,980",155.6,"10,503.50",65.8,28.2,0.5,0.7,2.4,2.4
SCOTT,36,"439,530",149,"10,652.50",60.2,32.9,0.5,1.2,2.6,2.6
TORRES,37,"437,813",148.4,"10,800.90",5.4,0.6,1.4,0.2,0.3,92.2
NGUYEN,38,"437,645",148.4,"10,949.30",1,0.1,96.5,0,1.8,0.6
HILL,39,"434,827",147.4,"11,096.70",64.4,29.1,0.5,1,2.5,2.5
FLORES,40,"433,969",147.1,"11,243.80",4.9,0.4,2.1,0.3,0.4,91.9
GREEN,41,"430,182",145.8,"11,389.70",56.8,37,0.4,0.6,2.5,2.6
ADAMS,42,"427,865",145.1,"11,534.70",74,19.9,0.6,0.8,2.2,2.6
NELSON,43,"424,958",144.1,"11,678.80",77.7,16,0.7,1.2,2,2.6
BAKER,44,"419,586",142.2,"11,821.00",79.8,14.4,0.6,0.9,2,2.3
HALL,45,"407,076",138,"11,959.00",72.7,21.6,0.6,0.7,2.2,2.3
RIVERA,46,"391,114",132.6,"12,091.60",5.4,1,2,0.2,0.4,91.1
CAMPBELL,47,"386,157",130.9,"12,222.50",73.7,20.5,0.5,0.7,2.1,2.5
MITCHELL,48,"384,486",130.3,"12,352.90",61,32.5,0.5,1,2.5,2.5
CARTER,49,"376,966",127.8,"12,480.70",58.2,35.6,0.5,0.8,2.7,2.3
ROBERTS,50,"376,774",127.7,"12,608.40",77.3,16.7,0.6,0.9,2.2,2.4
GOMEZ,51,"365,655",124,"12,732.40",5.1,0.8,1,0.3,0.3,92.6
PHILLIPS,52,"360,802",122.3,"12,854.70",76.7,17.1,0.6,1,2.2,2.4
EVANS,53,"355,593",120.6,"12,975.20",68.4,25.7,0.5,0.7,2.3,2.4
TURNER,54,"348,627",118.2,"13,093.40",64.3,30.1,0.4,0.6,2.4,2.2
DIAZ,55,"347,636",117.9,"13,211.30",5.2,0.7,1.2,0.2,0.3,92.6
PARKER,56,"336,221",114,"13,325.20",69.2,24.8,0.5,0.9,2.4,2.3
CRUZ,57,"334,201",113.3,"13,438.50",5.2,0.8,5.2,0.3,0.7,87.9
EDWARDS,58,"332,423",112.7,"13,551.20",62.1,31.6,0.5,0.8,2.5,2.5
COLLINS,59,"329,770",111.8,"13,663.00",71.6,22.4,0.5,0.8,2.2,2.5
REYES,60,"327,904",111.2,"13,774.20",4.4,0.6,5.6,0.2,0.6,88.6
STEWART,61,"324,957",110.2,"13,884.30",69.2,24.9,0.5,0.8,2.2,2.5
MORRIS,62,"318,884",108.1,"13,992.50",73.6,20.1,0.6,1,2.2,2.6
MORALES,63,"311,777",105.7,"14,098.10",4.6,0.6,1.2,0.2,0.2,93.2
MURPHY,64,"308,417",104.6,"14,202.70",83.1,11.5,0.6,0.7,1.8,2.3
COOK,65,"302,589",102.6,"14,305.30",81.8,12.6,0.6,0.9,2,2.2
ROGERS,66,"302,261",102.5,"14,407.80",75.4,18.5,0.5,0.8,2.1,2.6
GUTIERREZ,67,"293,218",99.4,"14,507.20",4.6,0.2,1.4,0.3,0.2,93.3
ORTIZ,68,"286,899",97.3,"14,604.40",5,0.6,0.7,0.4,0.3,93.1
MORGAN,69,"286,280",97.1,"14,701.50",76.1,17.3,0.5,1.2,2.1,2.8
COOPER,70,"280,791",95.2,"14,796.70",67.9,26.1,0.5,0.7,2.3,2.4
PETERSON,71,"278,297",94.3,"14,891.00",84.4,10.1,0.7,0.7,1.7,2.4
BAILEY,72,"277,845",94.2,"14,985.20",72.5,22,0.5,0.6,2.2,2.3
REED,73,"277,030",93.9,"15,079.10",71.3,22.6,0.5,1.1,2.3,2.2
KELLY,74,"267,394",90.7,"15,169.80",78.1,16.2,0.6,0.5,1.8,2.7
HOWARD,75,"264,826",89.8,"15,259.50",64.3,29.5,0.5,0.9,2.5,2.4
RAMOS,76,"263,464",89.3,"15,348.80",6.5,1,4.9,0.2,0.7,86.8
KIM,77,"262,352",88.9,"15,437.80",2.5,0.4,94.5,0,2,0.7
COX,78,"261,231",88.6,"15,526.30",82.6,12.1,0.5,0.7,1.8,2.3
WARD,79,"260,464",88.3,"15,614.60",75.6,18.5,0.5,0.9,2.1,2.4
RICHARDSON,80,"259,798",88.1,"15,702.70",59.7,33.6,0.5,1.1,2.4,2.7
WATSON,81,"252,579",85.6,"15,788.30",66,27.9,0.5,0.8,2.3,2.4
BROOKS,82,"251,663",85.3,"15,873.70",60.2,33.5,0.5,0.8,2.6,2.5
CHAVEZ,83,"250,898",85.1,"15,958.70",5,0.2,0.7,0.9,0.2,93
WOOD,84,"250,715",85,"16,043.70",88.7,5.6,0.7,0.8,1.8,2.4
JAMES,85,"249,379",84.5,"16,128.30",51.6,38.9,1.3,2.6,2.6,3.1
BENNETT,86,"247,599",83.9,"16,212.20",76.6,17.5,0.5,0.9,2,2.5
GRAY,87,"246,116",83.4,"16,295.60",68.7,25.1,0.5,0.9,2.3,2.4
MENDOZA,88,"242,771",82.3,"16,377.90",4.1,0.4,4.9,0.2,0.4,90
RUIZ,89,"238,234",80.8,"16,458.70",5.2,0.4,1,0.2,0.2,92.9
HUGHES,90,"236,271",80.1,"16,538.80",78.4,16.1,0.5,0.5,2,2.5
PRICE,91,"235,251",79.8,"16,618.50",73.9,20.5,0.5,0.7,2.1,2.2
ALVAREZ,92,"233,983",79.3,"16,697.90",5.2,0.6,1.2,0.4,0.2,92.5
CASTILLO,93,"230,420",78.1,"16,776.00",4.9,0.7,3,0.6,0.5,90.3
SANDERS,94,"230,374",78.1,"16,854.10",60.8,33,0.4,0.8,2.4,2.6
PATEL,95,"229,973",78,"16,932.00",2.1,0.4,94.8,0.7,1.7,0.4
MYERS,96,"229,895",77.9,"17,010.00",84.5,10.5,0.5,0.6,1.8,2.1
LONG,97,"229,374",77.8,"17,087.70",79.9,12.1,2.5,1.3,2,2.2
ROSS,98,"229,368",77.8,"17,165.50",69,24.5,0.6,0.9,2.3,2.8
FOSTER,99,"227,764",77.2,"17,242.70",69.7,23.9,0.6,0.9,2.3,2.7
JIMENEZ,100,"227,118",77,"17,319.70",3.8,0.3,1.5,0.2,0.2,94
POWELL,101,"224,874",76.2,"17,395.90",67.2,27.1,0.5,0.6,2.3,2.3
JENKINS,102,"222,653",75.5,"17,471.40",57.8,36.8,0.4,0.6,2.4,2.1
PERRY,103,"221,741",75.2,"17,546.60",68.3,25.2,0.6,0.8,2.4,2.7
RUSSELL,104,"221,558",75.1,"17,621.70",77.1,16.7,0.6,1.1,2.2,2.5
SULLIVAN,105,"220,990",74.9,"17,696.60",87.7,7.1,0.6,0.6,1.6,2.4
