"","numberPerDocket","numberOfCommentsReceived","organization","submitterName","title","commentText","docketTitle"
"1",4340347,984,NA,NA,"Mass Comment Campaign sponsored by MoveOn.org (email)","See Attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"2",4340347,446,NA,NA,"Mass comment campaigns - miscellanea late items (email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"3",4340347,202,NA,NA,"Mass comment campaign sponsoring organization unknown. Sample attached (Email)","See attached","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"4",4340347,53987,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"5",4340347,1169,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"6",4340347,1523,NA,NA,"Mass Comment Campaign sponsored by PennEnvironment (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"7",4340347,241,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"8",4340347,12794,NA,NA,"Mass Comment Campaign sponsored by National Wildlife Federation Action Fund (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"9",4340347,169438,NA,NA,"Mass Comment Campaign sponsored by  League of Conservation Voters (LCV) (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"10",4340347,14079,NA,NA,"Mass Comment Campaign sponsored by National Wildlife Federation Action Fund (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
"11",4340347,34940,NA,NA,"Mass Comment Campaign sponsoring organization unknown (email)","See attachment","Standards of Performance for Greenhouse Gas Emissions from Existing Sources: Electric Utility Generating Units"
